,id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
225,47728289,2025-03-01,aFRR,NEG_001,44.26,GRID_TO_PROVIDER,1.0,1.0,DE,
226,47728290,2025-03-01,aFRR,NEG_001,149.01,GRID_TO_PROVIDER,5.0,5.0,DE,
227,47728291,2025-03-01,aFRR,NEG_001,244.26,GRID_TO_PROVIDER,1.0,1.0,DE,
228,47728292,2025-03-01,aFRR,NEG_001,259.02,GRID_TO_PROVIDER,5.0,5.0,DE,
229,47728293,2025-03-01,aFRR,NEG_001,500.0,GRID_TO_PROVIDER,10.0,10.0,DE,
230,47728294,2025-03-01,aFRR,NEG_001,569.03,GRID_TO_PROVIDER,5.0,5.0,DE,
231,47728295,2025-03-01,aFRR,NEG_001,14900.0,GRID_TO_PROVIDER,58.0,58.0,DE,
232,47728296,2025-03-01,aFRR,NEG_001,14998.0,GRID_TO_PROVIDER,10.0,10.0,DE,
233,47728297,2025-03-01,aFRR,NEG_001,14999.0,GRID_TO_PROVIDER,1.0,1.0,DE,
234,47728298,2025-03-01,aFRR,NEG_001,14999.0,GRID_TO_PROVIDER,6.0,6.0,DE,
235,47728299,2025-03-01,aFRR,NEG_001,14999.0,GRID_TO_PROVIDER,5.0,5.0,DE,
236,47728300,2025-03-01,aFRR,NEG_001,83.72,PROVIDER_TO_GRID,3.0,3.0,DE,
237,47728301,2025-03-01,aFRR,NEG_001,83.72,PROVIDER_TO_GRID,1.0,1.0,DE,
238,47728302,2025-03-01,aFRR,NEG_001,89.0,GRID_TO_PROVIDER,1.0,1.0,DE,
239,47728303,2025-03-01,aFRR,NEG_001,1500.0,GRID_TO_PROVIDER,1.0,1.0,DE,
240,47728304,2025-03-01,aFRR,NEG_001,28.0,PROVIDER_TO_GRID,50.0,50.0,DE,
