dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.activation_Price.amount,point.imbalance_Price.category,point.position,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.mktPSRType.psrType,ts.price_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
activated_balancing_prices,2,2026-05-23T05:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.1688,A06,22,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T05:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.2583,A06,23,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T05:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.6763,A06,24,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T06:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.5033,A06,25,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T06:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-6.7307,A06,26,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T06:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-7.5126,A06,27,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T06:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-5.7298,A06,28,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T07:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-0.6265,A06,29,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T07:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,0,A06,30,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T07:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-5.0449,A06,31,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T07:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-7.3474,A06,32,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T08:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-12.6023,A06,33,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T08:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-4.1925,A06,34,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T08:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,2.4302,A06,35,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T08:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-10.0433,A06,36,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T09:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-7.2752,A06,37,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T09:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,6.0397,A06,38,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T09:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.2657,A06,39,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T09:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,8.0922,A06,40,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T10:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.2914,A06,41,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T10:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,6.8225,A06,42,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T10:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,3.8112,A06,43,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T10:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,1.9648,A06,44,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T11:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,1.7549,A06,45,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T11:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,2.4719,A06,46,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T11:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,1.3842,A06,47,A96,EUR,A03,A02,2,A04,MWH,A01
